City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
12,Matamoros,MX,83.1,overcast clouds,25.5333,-103.25,Quinta Belem
16,Wajid,SO,86.72,overcast clouds,3.8093,43.2471,xamdihotelresturant114
23,Kutum,SD,78.04,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
28,Bengkulu,ID,75.47,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
30,Ewa Beach,US,76.95,clear sky,21.3156,-158.0072,Uncle Junior Robert
31,Pontianak,ID,75.52,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
34,Cassilandia,BR,89.85,clear sky,-19.1133,-51.7342,Delirius Motel
35,Sao Sebastiao Do Paraiso,BR,82.99,clear sky,-20.9169,-46.9914,BM Hotel
40,San Francisco,US,81.79,broken clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
48,Jamestown,US,82.51,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
51,Butaritari,KI,81.95,light rain,3.0707,172.7902,Isles Sunset Lodge
56,Sinnamary,GF,85.24,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
61,Kavieng,PG,80.4,light rain,-2.5744,150.7967,Nusa Island Retreat
63,Kulhudhuffushi,MV,82.65,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
66,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
67,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
69,Hithadhoo,MV,81.72,overcast clouds,-0.6,73.0833,Scoop Guest House
75,Atuona,PF,76.87,light rain,-9.8,-139.0333,Villa Enata
79,Murliganj,IN,80.85,overcast clouds,25.9,86.9833,Hotel Vijay palace
82,Phangnga,TH,78.91,scattered clouds,8.4509,98.5298,Sunimit Mansion
85,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
87,Saint-Francois,FR,79.18,broken clouds,46.4154,3.9054,Manoir Du Bonheur
88,Carutapera,BR,81.28,scattered clouds,-1.195,-46.02,Lidera
