City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,-33.0153,27.9116,52.74,87,75,11.5,moderate rain
1,Puerto Ayora,EC,-0.7393,-90.3518,75.16,80,67,7.0,broken clouds
2,Bowen,AU,-20.0167,148.2333,62.82,88,49,10.33,scattered clouds
3,Sabha,LY,27.0377,14.4283,104.65,7,2,13.22,clear sky
4,Eenhana,NA,-17.4667,16.3333,85.75,13,0,6.2,clear sky
5,Cape Town,ZA,-33.9258,18.4232,54.01,70,40,1.99,scattered clouds
6,San Cristobal,VE,7.7669,-72.225,82.58,46,31,7.83,scattered clouds
7,Wagar,SD,16.1525,36.2032,90.14,50,69,1.41,broken clouds
8,Tuktoyaktuk,CA,69.4541,-133.0374,46.4,100,90,6.91,mist
9,Carnarvon,AU,-24.8667,113.6333,48.27,33,0,6.91,clear sky
10,Mataura,NZ,-46.1927,168.8643,45.48,98,21,2.62,few clouds
11,Saint-Philippe,RE,-21.3585,55.7679,71.19,84,43,11.41,light rain
12,Matamoros,MX,25.5333,-103.25,83.1,37,87,3.29,overcast clouds
13,Raudeberg,NO,61.9875,5.1352,65.98,86,100,3.85,overcast clouds
14,Hobart,AU,-42.8794,147.3294,50.25,78,40,1.01,scattered clouds
15,Sucre,BO,-19.0333,-65.2627,57.85,48,74,9.04,broken clouds
16,Wajid,SO,3.8093,43.2471,86.72,35,99,15.82,overcast clouds
17,Castro,BR,-24.7911,-50.0119,56.44,84,100,7.09,overcast clouds
18,Norman Wells,CA,65.282,-126.8329,57.24,77,75,6.91,broken clouds
19,Haines Junction,CA,60.7522,-137.5108,66.15,48,100,11.5,light rain
20,Hasaki,JP,35.7333,140.8333,72.0,92,100,12.57,overcast clouds
21,Chapais,CA,49.7834,-74.8492,71.38,91,77,11.97,broken clouds
22,Hermanus,ZA,-34.4187,19.2345,51.91,73,32,10.38,light rain
23,Kutum,SD,14.2,24.6667,78.04,57,78,3.91,broken clouds
24,Sisimiut,GL,66.9395,-53.6735,52.7,56,98,3.8,overcast clouds
25,Bilibino,RU,68.0546,166.4372,51.76,64,100,2.42,overcast clouds
26,Tasiilaq,GL,65.6145,-37.6368,46.69,70,29,3.15,scattered clouds
27,Poum,NC,-20.2333,164.0167,68.86,66,18,15.1,few clouds
28,Bengkulu,ID,-3.8004,102.2655,75.47,90,91,3.85,overcast clouds
29,Lavrentiya,RU,65.5833,-171.0,37.83,66,37,6.02,scattered clouds
30,Ewa Beach,US,21.3156,-158.0072,76.95,72,1,3.44,clear sky
31,Pontianak,ID,-0.0333,109.3333,75.52,91,100,4.27,overcast clouds
32,Punta Arenas,CL,-53.15,-70.9167,50.02,69,94,40.18,overcast clouds
33,Namibe,AO,-15.1961,12.1522,65.39,80,15,14.0,few clouds
34,Cassilandia,BR,-19.1133,-51.7342,89.85,20,3,5.01,clear sky
35,Sao Sebastiao Do Paraiso,BR,-20.9169,-46.9914,82.99,22,2,4.54,clear sky
36,Qaanaaq,GL,77.484,-69.3632,41.79,71,96,3.36,overcast clouds
37,Pisco,PE,-13.7,-76.2167,63.01,77,90,10.36,overcast clouds
